Passenger_ID,Flight_ID,Airline,Departure_Airport,Arrival_Airport,Departure_Time,Flight_Duration_Minutes,Flight_Status,Distance_Miles,Price_USD,Age,Gender,Income_Level,Travel_Purpose,Seat_Class,Bags_Checked,Frequent_Flyer_Status,Check_in_Method,Flight_Satisfaction_Score,Delay_Minutes,Booking_Days_In_Advance,No_Show,Weather_Impact,Seat_Selected
P894,F1881,American Airlines,ATL,ATL,01/09/2023 14:10,175,Delayed,1252,396.57,68,Male,Medium,Family,Premium Economy,0,Gold,Airport Kiosk,8.9,4,87,0,0,Aisle
P895,F1481,Southwest,ORD,SEA,03/06/2023 15:38,140,On-time,1264,376.91,41,Female,Low,Emergency,Business,0,Gold,Desk,8.4,21,62,0,0,Window
P896,F904,JetBlue,JFK,ATL,30/04/2023 9:07,179,On-time,961,294.29,56,Female,Medium,Emergency,Premium Economy,0,Silver,Online,7.2,26,65,0,0,Aisle
P897,F1949,American Airlines,SFO,JFK,28/07/2023 8:25,80,On-time,1245,244.44,71,Female,High,Family,Economy,1,Gold,Airport Kiosk,7.7,4,43,0,1,Aisle
P898,F159,Southwest,LAX,SEA,08/05/2024 18:39,233,On-time,1475,397.99,43,Female,Medium,Family,Business,1,Gold,Desk,6.8,18,83,0,1,Window
P899,F1684,Southwest,DEN,SFO,06/05/2024 22:59,262,Delayed,1171,418.35,51,Male,Low,Business,Economy,1,None,Online,7.2,12,2,0,0,Window
P900,F130,JetBlue,LAX,LAX,17/04/2024 1:34,251,On-time,787,375.9,74,Male,High,Leisure,Premium Economy,1,None,Desk,4.2,16,26,0,0,Middle
P901,F1377,Delta,ORD,LAX,22/12/2024 13:33,127,Cancelled,1736,234.98,20,Female,Medium,Business,Business,0,None,Airport Kiosk,7.3,13,108,0,0,Window
P902,F1956,JetBlue,DFW,LAX,24/03/2024 7:43,251,On-time,549,410.73,75,Male,High,Family,Premium Economy,1,Silver,Mobile App,6.1,1,58,1,0,Middle
P903,F801,United,LAX,JFK,30/09/2023 10:35,249,Delayed,699,308.48,24,Female,Medium,Business,Premium Economy,2,Silver,Airport Kiosk,9.1,20,45,0,1,Middle
P904,F1501,United,DFW,DEN,17/12/2024 3:56,76,On-time,1538,144.54,26,Female,Medium,Emergency,Economy,1,None,Airport Kiosk,6.9,14,105,0,0,Window
P905,F1233,American Airlines,JFK,ORD,11/12/2024 1:42,150,On-time,731,342.62,43,Female,Low,Leisure,Economy,1,Silver,Desk,7.2,14,13,1,0,Window
P906,F82,Southwest,ORD,LAX,31/08/2024 17:02,172,On-time,1121,358.13,63,Female,Medium,Leisure,Economy,1,None,Airport Kiosk,7.4,2,26,0,0,Aisle
P907,F1649,United,DFW,LAX,22/11/2024 8:20,160,On-time,1629,373.68,28,Female,Low,Family,Economy,2,Silver,Online,6.6,7,114,0,0,Middle
P908,F492,United,DEN,JFK,27/08/2023 9:16,92,On-time,1298,375.75,65,Female,Medium,Emergency,Economy,1,None,Online,6.7,2,112,0,1,Middle
P909,F737,American Airlines,SFO,ATL,24/06/2023 10:35,196,On-time,1050,452.19,39,Female,High,Business,Economy,1,None,Airport Kiosk,6.2,2,94,0,0,Middle
P910,F589,Delta,DFW,DEN,16/03/2024 10:21,252,On-time,774,262.67,56,Male,High,Family,Economy,0,None,Mobile App,8.7,9,80,0,0,Middle
P911,F197,United,SFO,DEN,26/06/2023 19:49,165,On-time,832,316.22,75,Male,Low,Family,Premium Economy,2,Silver,Desk,6.9,10,45,0,0,Aisle
P912,F1036,JetBlue,ORD,JFK,29/09/2023 2:11,236,On-time,769,123.3,23,Male,High,Business,First,1,Platinum,Airport Kiosk,7.5,7,31,0,0,Middle
P913,F845,Southwest,ORD,SFO,16/11/2023 17:52,273,On-time,1008,446.34,47,Female,Low,Emergency,First,2,Gold,Mobile App,5.8,18,30,0,0,Window
P914,F1479,Southwest,DEN,LAX,19/06/2024 18:13,165,On-time,1475,275.26,41,Female,Medium,Family,Premium Economy,0,None,Desk,6.4,1,37,0,0,Aisle
P915,F728,United,SEA,ORD,01/10/2023 18:00,234,On-time,867,299.27,55,Female,Medium,Leisure,Business,1,Gold,Airport Kiosk,7.4,1,102,0,0,Middle
P916,F664,United,ATL,SFO,18/03/2025 10:24,197,Delayed,1044,607.32,22,Male,Medium,Family,Economy,2,None,Desk,7.7,15,51,0,0,Middle
P917,F1041,Southwest,SFO,JFK,06/08/2024 9:41,100,Delayed,1697,312.79,68,Female,High,Emergency,Business,1,None,Desk,6.9,7,43,0,0,Window
P918,F393,United,SFO,LAX,25/05/2023 8:54,234,On-time,1676,487.86,79,Male,Low,Emergency,Economy,1,None,Mobile App,6,34,89,0,0,Middle
P919,F202,JetBlue,LAX,DFW,19/04/2024 9:59,242,On-time,1905,373.2,57,Male,High,Leisure,Premium Economy,1,None,Mobile App,8.7,1,110,0,0,Window
P920,F683,Southwest,LAX,JFK,18/11/2024 9:48,118,Delayed,1223,354.61,78,Male,Medium,Business,Premium Economy,2,None,Desk,5.8,7,18,0,0,Window
P921,F696,JetBlue,JFK,LAX,18/06/2024 10:57,136,On-time,1143,359.12,39,Female,High,Leisure,Economy,3,Silver,Mobile App,6.8,1,13,0,1,Middle
P922,F165,United,DEN,DEN,10/01/2025 7:06,118,On-time,1719,243.62,64,Male,Medium,Leisure,Economy,2,None,Airport Kiosk,6.3,6,110,0,1,Middle
P923,F1033,United,ORD,JFK,11/10/2024 2:52,74,On-time,1459,515.17,33,Female,Low,Business,Economy,0,Platinum,Desk,7.1,0,60,0,0,Window
P924,F779,JetBlue,ORD,ATL,02/02/2025 13:07,249,On-time,1225,306.35,54,Female,Medium,Business,Economy,0,Gold,Airport Kiosk,8,7,17,0,0,Aisle
P925,F1133,Delta,SFO,ATL,01/11/2024 23:40,222,On-time,1802,393.62,75,Female,Medium,Business,Economy,1,Gold,Mobile App,6.6,14,70,0,0,Middle
P926,F98,Southwest,DEN,DEN,09/07/2023 16:15,74,On-time,917,365.8,65,Female,Medium,Leisure,Economy,0,Gold,Mobile App,4.8,19,16,0,0,Aisle
P927,F321,Southwest,SEA,DFW,07/01/2025 4:05,182,On-time,803,312.91,48,Male,Low,Leisure,Economy,1,Silver,Online,3.8,8,42,0,1,Aisle
P928,F365,Southwest,JFK,SFO,04/10/2024 10:09,-78,On-time,1180,379.76,35,Male,Medium,Leisure,Economy,1,Silver,Desk,7.6,6,48,0,0,Window
P929,F1235,United,ATL,SFO,20/11/2023 13:24,186,On-time,1322,476.94,38,Male,Medium,Business,Economy,0,Platinum,Mobile App,5.9,9,28,1,0,Aisle
P930,F1179,United,DFW,ATL,30/10/2024 4:55,235,On-time,1504,389.24,26,Female,Medium,Family,Economy,2,Silver,Mobile App,7.2,0,75,0,0,Middle
P931,F467,JetBlue,ORD,ORD,28/08/2023 0:51,83,Delayed,1529,377.31,22,Male,Low,Leisure,First,0,Silver,Online,8,36,4,0,0,Window
P932,F1261,American Airlines,JFK,SEA,10/01/2024 14:03,258,On-time,1128,502.83,29,Male,Medium,Emergency,Economy,0,Silver,Desk,7.2,14,74,1,0,Middle
P933,F1078,JetBlue,JFK,LAX,22/07/2024 15:54,227,Cancelled,1763,469.74,34,Male,Medium,Leisure,Economy,0,Gold,Online,5.2,7,64,0,0,Window
P934,F349,JetBlue,DFW,ATL,13/10/2024 10:19,182,On-time,1297,291.67,52,Male,Low,Family,Business,1,None,Desk,5.6,19,38,1,0,Window
P935,F889,United,SEA,JFK,12/03/2024 8:14,179,On-time,1117,338.02,46,Female,Low,Business,Economy,0,None,Mobile App,8.6,0,64,0,0,Middle
P936,F133,Delta,SEA,ORD,08/05/2024 12:29,256,On-time,1854,488.26,60,Male,Medium,Family,Economy,2,Gold,Mobile App,6,12,32,0,0,Window
P937,F1538,Southwest,JFK,JFK,16/07/2023 21:43,242,On-time,1358,458.92,40,Male,Medium,Business,Economy,3,None,Desk,7.9,18,43,0,0,Middle
P938,F697,United,DFW,SFO,23/04/2023 9:13,219,On-time,1605,555.76,77,Female,Medium,Leisure,Economy,0,None,Desk,5.3,3,59,0,0,Middle
P939,F119,American Airlines,DFW,JFK,09/12/2023 5:02,170,On-time,1584,388.95,60,Male,Medium,Emergency,Economy,0,None,Mobile App,8.2,22,74,0,1,Middle
P940,F1945,American Airlines,LAX,ATL,05/10/2023 3:27,129,On-time,1080,338.9,64,Male,Medium,Family,Economy,2,None,Online,8,1,66,0,0,Middle
P941,F1862,Southwest,DEN,SFO,17/09/2023 10:17,267,On-time,1366,421.85,43,Female,Low,Family,Economy,2,None,Airport Kiosk,4.6,16,16,1,0,Window
P942,F1839,JetBlue,SFO,SFO,14/09/2024 11:53,209,On-time,1403,297.32,22,Male,Medium,Leisure,Premium Economy,2,Platinum,Mobile App,6.4,9,63,0,0,Window
P943,F616,JetBlue,ORD,ORD,05/01/2025 9:25,100,Delayed,1123,158.61,54,Female,High,Business,Economy,0,None,Online,8.8,9,109,0,0,Aisle
P944,F889,United,DFW,ORD,13/04/2025 8:01,232,On-time,1045,319.54,49,Female,Medium,Business,Economy,1,None,Mobile App,5.8,4,71,0,0,Window
P945,F1832,Southwest,SFO,ORD,28/06/2023 17:14,204,On-time,1748,390.44,51,Female,Medium,Business,Premium Economy,4,None,Mobile App,7.6,18,47,0,0,Aisle
P946,F67,United,LAX,DFW,20/10/2023 4:36,103,On-time,1174,313.14,71,Male,Medium,Emergency,Economy,0,None,Online,4.3,6,105,0,0,Middle
P947,F1270,JetBlue,ATL,DFW,09/10/2023 20:18,150,On-time,925,455.31,56,Male,Low,Business,Economy,2,Silver,Desk,7,14,33,0,0,Window
P948,F430,United,SFO,SFO,27/04/2024 6:08,236,Delayed,1194,371.43,36,Male,High,Business,Premium Economy,1,Silver,Online,6.1,5,96,0,0,Window
P949,F1355,United,DEN,LAX,17/03/2024 23:48,164,On-time,1281,318.63,65,Male,High,Leisure,Business,0,Platinum,Mobile App,5.5,7,73,0,0,Aisle
P950,F422,Delta,SFO,DEN,21/10/2023 18:58,199,Delayed,1163,280.39,47,Female,Low,Leisure,Economy,2,Platinum,Desk,7.6,21,51,0,0,Aisle
P951,F1312,Delta,LAX,LAX,11/11/2024 10:03,190,On-time,1233,296.5,45,Male,Medium,Family,Business,2,None,Online,6.4,41,85,0,1,Middle
P952,F28,Delta,JFK,JFK,15/03/2024 18:31,191,On-time,1408,330.84,25,Female,Medium,Emergency,Premium Economy,1,None,Mobile App,9.5,38,50,0,0,Aisle
P953,F1619,Delta,ATL,DFW,25/09/2023 6:10,126,Delayed,1161,352.17,31,Female,Medium,Business,Business,0,Silver,Online,8.8,11,15,0,1,Aisle
P954,F1503,Southwest,DFW,JFK,16/02/2025 16:26,308,On-time,961,271.74,52,Male,High,Emergency,Economy,1,Silver,Mobile App,6.8,14,28,0,0,Middle
P955,F1453,United,SEA,SFO,18/02/2025 23:46,281,Delayed,1252,251.5,55,Male,Medium,Family,First,0,None,Airport Kiosk,5.2,4,64,0,0,Middle
P956,F1715,Delta,DFW,JFK,23/10/2023 3:24,197,Delayed,1562,351.82,53,Female,Medium,Emergency,Business,1,None,Mobile App,7.1,8,92,0,0,Window
P957,F412,Southwest,ORD,LAX,15/08/2023 11:24,109,On-time,1730,229.67,18,Female,Medium,Emergency,Premium Economy,0,Gold,Desk,8,1,72,0,0,Window
P958,F308,United,DEN,DEN,24/06/2024 6:25,39,On-time,1014,453.6,35,Male,Low,Family,Premium Economy,2,Silver,Online,7.5,11,44,0,0,Aisle
P959,F1293,Delta,JFK,DEN,01/06/2024 9:55,259,On-time,480,381.75,53,Female,Medium,Business,First,2,Silver,Online,7.5,28,95,0,0,Aisle
P960,F504,Southwest,DFW,JFK,02/12/2024 17:54,170,On-time,905,483.6,24,Male,Medium,Emergency,Economy,3,Silver,Mobile App,5.9,9,57,1,0,Aisle
P961,F450,Southwest,DEN,SEA,07/07/2024 8:35,226,Cancelled,1364,232.26,65,Male,Medium,Family,Economy,1,Silver,Desk,6.6,1,118,0,0,Middle
P962,F410,United,DFW,JFK,01/08/2023 8:49,199,On-time,1555,495.68,39,Female,Medium,Emergency,Business,0,Platinum,Online,7.1,29,65,0,1,Window
P963,F366,American Airlines,SEA,DFW,02/12/2023 21:09,208,On-time,1081,398.56,28,Male,Medium,Emergency,First,0,Silver,Mobile App,4.8,12,50,0,0,Middle
P964,F60,United,LAX,LAX,08/04/2024 2:50,202,On-time,1236,360.85,25,Female,High,Emergency,Economy,3,Gold,Online,6.9,14,53,1,0,Middle
P965,F613,Delta,SEA,SEA,16/08/2023 23:49,138,Delayed,920,431.44,47,Female,Low,Business,First,0,Platinum,Airport Kiosk,7.3,9,16,0,0,Middle
P966,F1063,Southwest,DFW,ATL,12/02/2024 13:37,246,Cancelled,1058,218.75,25,Male,High,Family,Premium Economy,0,None,Airport Kiosk,6.9,2,42,0,0,Aisle
P967,F1414,Delta,SFO,DFW,22/09/2023 23:52,76,On-time,1744,362.75,56,Female,Medium,Leisure,Economy,3,Silver,Mobile App,7.3,3,97,0,0,Window
P968,F1359,American Airlines,LAX,ATL,13/02/2025 22:02,84,On-time,897,322.62,69,Female,Medium,Family,Business,2,None,Online,7.4,3,80,0,0,Aisle
P969,F1747,United,SFO,DEN,15/05/2024 19:08,238,On-time,1465,529.26,40,Male,Medium,Family,Economy,3,None,Mobile App,5.9,27,7,0,1,Window
P970,F1510,United,LAX,SFO,15/04/2024 22:53,68,On-time,1523,317.34,34,Female,Low,Business,Business,0,Platinum,Airport Kiosk,9.7,4,68,0,0,Aisle
P971,F566,JetBlue,DEN,JFK,01/01/2024 4:53,101,On-time,662,189.5,60,Male,Low,Business,Economy,0,None,Desk,6.3,4,95,1,0,Aisle
P972,F114,American Airlines,DFW,SFO,20/01/2024 10:23,223,On-time,813,542.81,28,Female,Medium,Emergency,Economy,2,Silver,Online,7.3,40,118,0,1,Middle
P973,F681,United,DFW,ORD,17/09/2024 10:28,156,On-time,893,363.81,35,Male,Low,Family,First,1,Silver,Online,7.3,4,103,0,0,Window
P974,F566,JetBlue,SFO,DFW,17/12/2024 20:49,131,On-time,589,422.84,31,Female,High,Business,Economy,2,Silver,Desk,7.8,24,8,0,0,Middle
P975,F1083,United,DEN,SFO,18/05/2023 2:48,96,On-time,1689,455.71,24,Male,Low,Leisure,Economy,2,Platinum,Online,5.8,73,109,1,0,Middle
P976,F284,United,DEN,DEN,25/09/2023 2:50,193,On-time,1198,318.15,51,Female,Medium,Business,Business,0,None,Online,5,22,25,0,0,Aisle
P977,F1452,American Airlines,SEA,SFO,12/12/2023 7:33,138,On-time,1097,191.55,71,Female,Medium,Family,Business,0,Silver,Mobile App,7.2,7,70,0,0,Aisle
P978,F621,United,DEN,SFO,15/11/2024 14:21,249,On-time,1602,222.45,46,Female,High,Business,Premium Economy,1,None,Desk,6,33,82,0,0,Middle
P979,F145,United,DFW,ATL,12/04/2025 10:21,219,On-time,1080,464.94,53,Female,Medium,Business,Economy,0,Gold,Online,7.2,13,2,0,0,Window
P980,F36,American Airlines,ATL,DEN,02/04/2024 5:18,174,Delayed,886,305.49,57,Female,Low,Leisure,First,1,Silver,Online,7,8,89,0,0,Window
P981,F1631,United,DEN,SFO,02/10/2024 13:11,279,On-time,1349,266.13,77,Male,Medium,Emergency,Economy,0,Gold,Airport Kiosk,7.9,10,74,0,0,Window
P982,F1639,United,ORD,ATL,12/11/2024 2:52,58,On-time,958,337.58,40,Male,High,Emergency,Economy,0,None,Airport Kiosk,8.8,18,57,0,0,Window
P983,F392,JetBlue,ATL,SEA,20/12/2023 23:11,202,On-time,1500,301.23,77,Female,High,Family,Economy,0,Silver,Airport Kiosk,5.8,10,20,0,0,Middle
P984,F989,American Airlines,SFO,DFW,27/08/2024 21:37,216,On-time,1373,367.95,22,Female,High,Business,Premium Economy,1,Gold,Mobile App,6.9,20,66,0,0,Aisle
P985,F285,Delta,SEA,JFK,21/11/2023 12:07,172,On-time,760,174,31,Male,Medium,Family,Premium Economy,0,Silver,Desk,10,4,57,0,0,Middle
P986,F818,Southwest,ATL,ORD,21/07/2023 12:14,163,On-time,1625,365.31,47,Male,Low,Leisure,Economy,3,Silver,Desk,6.9,8,39,0,0,Middle
P987,F1939,United,ATL,SEA,24/04/2024 4:28,116,On-time,1116,519.31,21,Male,Medium,Leisure,Business,1,None,Mobile App,6.1,1,95,0,0,Middle
P988,F1371,Delta,DEN,LAX,30/10/2023 7:29,220,On-time,1547,343.79,23,Female,Medium,Business,Economy,0,Silver,Airport Kiosk,7.5,2,1,0,0,Middle
P989,F819,JetBlue,SEA,DFW,19/04/2024 22:46,148,On-time,1271,332.75,47,Female,High,Family,Economy,2,None,Desk,6.8,0,25,0,0,Aisle
P990,F1466,American Airlines,LAX,DFW,12/12/2023 9:22,186,On-time,1161,419.36,70,Female,Low,Family,Economy,1,None,Desk,5.8,16,104,0,0,Aisle
P991,F685,Southwest,SEA,LAX,02/05/2024 23:16,258,Delayed,819,351.6,20,Female,Medium,Emergency,Economy,2,Silver,Desk,9.2,1,77,0,1,Window
P992,F1648,United,ORD,ATL,03/02/2024 12:32,151,On-time,1014,345.06,67,Female,Medium,Family,Economy,0,Platinum,Airport Kiosk,9.8,14,13,0,0,Middle
P993,F1245,American Airlines,SFO,JFK,27/10/2023 16:32,267,On-time,855,384.22,19,Female,Low,Family,Business,3,None,Desk,7.8,21,77,0,0,Window
P994,F1751,Delta,JFK,DFW,19/09/2024 12:11,85,Delayed,1456,379.31,26,Male,Low,Emergency,First,1,None,Mobile App,6.2,4,60,0,0,Aisle
P995,F1090,American Airlines,JFK,JFK,12/06/2024 10:43,216,On-time,801,329.28,73,Male,Medium,Family,Economy,1,None,Online,7,2,108,0,0,Aisle
P996,F627,Southwest,ORD,ORD,04/12/2023 8:54,129,On-time,1179,92.76,61,Male,Low,Emergency,Economy,0,Gold,Online,7.6,1,22,1,0,Aisle
P997,F1977,American Airlines,DEN,LAX,18/04/2025 7:30,131,On-time,1051,365.28,30,Female,High,Emergency,Business,2,None,Online,6.2,9,45,0,0,Aisle
P998,F1025,Delta,SFO,SFO,23/01/2025 5:19,243,On-time,1620,346.85,58,Female,High,Leisure,Economy,0,Gold,Online,9.2,6,89,0,0,Aisle
P999,F1039,Delta,DEN,DFW,30/01/2025 2:11,274,On-time,1470,484.7,27,Male,High,Business,Economy,0,None,Desk,5.7,7,85,0,0,Window
P1000,F744,Delta,SFO,SEA,08/10/2023 5:10,229,On-time,750,194.28,25,Male,Medium,Emergency,First,0,Platinum,Airport Kiosk,5.9,6,70,1,0,Window
P1001,F633,Southwest,DEN,LAX,03/11/2023 14:30,278,Delayed,1106,479.42,39,Female,Medium,Business,Premium Economy,1,None,Desk,4.8,1,80,0,0,Middle
P1002,F1582,JetBlue,DFW,SEA,06/06/2023 13:32,201,On-time,622,581.93,79,Female,Low,Business,Business,0,None,Online,4.7,1,39,0,0,Window
P1003,F623,Delta,ORD,SEA,25/12/2023 0:51,274,Delayed,1097,387.43,33,Female,High,Leisure,Economy,0,None,Mobile App,8.9,6,118,0,0,Aisle
P1004,F502,United,ATL,DEN,03/09/2024 1:15,322,On-time,490,294.09,41,Male,Medium,Emergency,Economy,0,None,Mobile App,8.7,7,47,0,0,Aisle
P1005,F1658,Southwest,SFO,ORD,27/06/2023 16:28,127,On-time,874,450.09,54,Female,Medium,Leisure,Premium Economy,1,None,Airport Kiosk,6.2,6,56,0,0,Middle
P1006,F98,United,SFO,LAX,20/01/2025 22:18,215,Delayed,1598,326.53,78,Female,Medium,Family,Economy,0,None,Online,7.8,21,97,0,1,Aisle
P1007,F1561,American Airlines,SFO,SEA,25/02/2025 23:28,273,On-time,1251,219.69,61,Female,High,Emergency,Economy,1,None,Airport Kiosk,8.8,10,42,0,0,Window
P1008,F2000,Southwest,ATL,ORD,06/11/2023 18:58,207,On-time,1288,449.29,18,Male,Medium,Business,Economy,1,Silver,Online,5.7,19,60,0,0,Window
P1009,F958,American Airlines,SFO,JFK,16/07/2023 13:42,119,Delayed,1233,370.25,35,Male,Low,Leisure,Premium Economy,1,None,Online,8.5,6,80,0,0,Middle
P1010,F106,Delta,SFO,SEA,28/11/2023 22:54,253,On-time,1030,351.2,65,Male,Medium,Emergency,Economy,2,Silver,Desk,7.4,7,10,0,0,Middle
P1011,F121,United,ORD,DFW,20/08/2024 18:04,133,On-time,1333,324.05,76,Female,Medium,Emergency,Economy,1,None,Mobile App,7.8,5,48,1,0,Middle
P1012,F640,United,SFO,JFK,15/07/2024 12:01,98,On-time,1053,350.83,27,Female,Medium,Leisure,Premium Economy,1,None,Online,7.2,0,63,0,0,Window
P1013,F1969,Southwest,JFK,ORD,19/10/2023 6:41,250,Delayed,779,436.02,43,Female,Medium,Family,Premium Economy,1,Gold,Desk,8.6,7,94,0,0,Window
P1014,F473,Southwest,ATL,SEA,09/04/2024 1:09,293,Delayed,1871,150.03,52,Male,Medium,Leisure,Economy,2,Silver,Airport Kiosk,8.5,8,113,0,1,Middle
P1015,F872,JetBlue,DEN,ORD,05/03/2025 6:30,76,On-time,1146,164.61,43,Female,Medium,Emergency,First,3,None,Online,6.3,26,82,1,1,Middle
P1016,F1200,United,LAX,DEN,20/03/2024 0:50,150,Delayed,603,311.5,56,Male,High,Family,First,3,Gold,Desk,7.2,8,109,0,0,Aisle
P1017,F1526,American Airlines,SEA,DEN,25/09/2024 5:12,224,Cancelled,1352,392.62,21,Male,High,Business,Economy,1,Silver,Mobile App,5.6,3,32,0,1,Middle
P1018,F1090,United,SFO,LAX,05/07/2024 21:30,102,On-time,1757,381.81,67,Male,Medium,Business,Economy,2,None,Desk,5.6,23,68,0,0,Window
P1019,F805,JetBlue,ORD,SFO,12/10/2024 3:14,141,On-time,1446,340.95,65,Male,High,Leisure,Premium Economy,1,Gold,Online,4.7,1,104,0,0,Aisle
P1020,F1797,American Airlines,ATL,SFO,08/04/2024 15:24,186,On-time,1517,172.73,35,Male,High,Leisure,Economy,1,Silver,Airport Kiosk,6.6,3,30,0,0,Window
P1021,F995,JetBlue,JFK,SEA,09/09/2023 23:51,121,On-time,906,331.55,59,Male,Low,Business,Economy,2,None,Mobile App,7.8,11,93,0,1,Window
P1022,F1359,Southwest,DFW,SFO,16/03/2024 20:55,186,On-time,1264,334.49,31,Female,High,Leisure,Economy,0,Silver,Airport Kiosk,3.7,1,31,0,0,Window
P1023,F976,American Airlines,SEA,ATL,29/01/2025 8:21,182,Cancelled,1468,429.51,78,Male,Low,Emergency,Premium Economy,0,Silver,Online,7,5,42,0,0,Aisle
P1024,F675,Delta,DFW,JFK,04/05/2023 22:28,184,On-time,1679,427.96,53,Female,Medium,Family,Business,1,None,Online,5.6,12,100,0,0,Window
P1025,F1143,JetBlue,LAX,SFO,02/01/2024 1:11,179,Delayed,1425,312.68,61,Male,Medium,Emergency,First,2,Platinum,Desk,3.1,16,34,0,0,Window
P1026,F2000,Southwest,ORD,JFK,21/04/2025 13:08,126,On-time,1091,445.66,56,Female,Medium,Business,Business,2,None,Online,6.8,13,20,0,0,Window
P1027,F512,United,ATL,DFW,28/12/2024 11:00,177,On-time,962,454.21,21,Male,High,Leisure,Economy,0,None,Desk,6.8,25,109,0,0,Window
P1028,F1493,Southwest,DEN,ATL,20/06/2023 23:13,148,On-time,1543,480.35,69,Male,Medium,Family,Premium Economy,1,Silver,Mobile App,6.3,9,65,0,1,Aisle
P1029,F1108,JetBlue,JFK,JFK,15/02/2024 15:14,255,On-time,1102,583.53,41,Female,Low,Family,Economy,2,None,Online,7.8,2,51,0,0,Aisle
P1030,F1862,Delta,DEN,LAX,26/05/2024 16:37,188,On-time,1511,337.08,28,Female,High,Emergency,Premium Economy,0,None,Desk,6,9,72,0,0,Middle
P1031,F569,United,JFK,JFK,19/07/2024 3:12,163,On-time,1132,391.29,36,Male,Medium,Emergency,Economy,0,None,Online,9.6,11,9,1,0,Window
P1032,F933,United,SEA,ATL,20/10/2024 23:17,174,On-time,1339,281.94,44,Male,Medium,Family,Premium Economy,4,None,Online,6.6,6,14,0,0,Window
P1033,F817,United,JFK,ATL,15/02/2025 11:02,191,Delayed,1377,463.13,43,Male,Medium,Emergency,First,1,None,Mobile App,8.3,0,29,0,0,Window
P1034,F199,United,DFW,DFW,19/06/2023 9:41,210,On-time,1496,303.19,35,Male,Low,Business,Economy,1,Silver,Airport Kiosk,8.5,11,21,0,0,Aisle
P1035,F1670,Delta,SFO,DFW,10/06/2023 20:32,129,On-time,958,416.65,60,Female,Medium,Family,Economy,2,Gold,Online,7.2,0,31,0,1,Window
P1036,F168,JetBlue,SFO,LAX,25/05/2024 5:18,133,On-time,1162,312.88,51,Male,Medium,Business,Economy,0,None,Online,7.3,1,111,0,0,Middle
P1037,F1930,Delta,DFW,DFW,10/02/2024 20:57,295,On-time,1452,306.42,40,Male,Low,Business,Economy,1,None,Desk,8,15,115,0,0,Window
P1038,F1062,JetBlue,SEA,SEA,20/09/2023 15:27,176,Delayed,1234,397.03,74,Male,High,Business,Premium Economy,3,Silver,Desk,4.7,14,9,0,0,Window
P1039,F637,Delta,DFW,DEN,09/01/2025 2:01,143,On-time,937,391.42,68,Female,Low,Business,Economy,1,Silver,Mobile App,7.1,16,29,0,0,Window
P1040,F935,United,LAX,LAX,22/11/2024 22:21,108,On-time,1075,275.32,43,Female,High,Family,Economy,0,None,Airport Kiosk,6.6,5,62,0,0,Middle
P1041,F1409,Delta,SEA,LAX,08/09/2024 20:55,167,On-time,697,342.74,27,Male,Medium,Leisure,Economy,0,None,Mobile App,6.6,17,39,0,0,Aisle
P1042,F120,United,LAX,DEN,07/09/2023 20:23,160,On-time,980,407.4,64,Male,Medium,Emergency,Economy,1,Silver,Mobile App,7.7,10,95,0,1,Aisle
P1043,F1572,Delta,ATL,DEN,20/05/2024 18:13,150,On-time,1223,379.24,39,Female,Low,Emergency,Economy,1,None,Desk,7.4,2,37,0,0,Window
P1044,F1542,American Airlines,JFK,SFO,24/02/2024 13:10,110,On-time,1531,305.01,42,Female,Medium,Business,Economy,2,Silver,Online,7.9,16,2,0,0,Middle
P1045,F1615,United,SEA,LAX,11/01/2024 22:15,172,On-time,841,444.49,32,Female,Low,Emergency,Business,2,Platinum,Mobile App,7.9,2,31,1,0,Middle
P1046,F284,Southwest,SFO,ATL,22/10/2024 0:32,239,Delayed,1049,284.9,36,Male,Low,Leisure,Economy,0,Gold,Desk,4.8,7,16,0,1,Window
P1047,F1060,JetBlue,ATL,SEA,01/12/2024 18:21,197,On-time,738,439.68,27,Male,Medium,Emergency,Economy,0,Gold,Airport Kiosk,8.3,18,88,1,0,Middle
P1048,F1428,American Airlines,LAX,ORD,02/04/2024 20:40,149,On-time,1198,289.54,24,Female,Low,Emergency,Premium Economy,3,Silver,Mobile App,7.6,6,32,0,0,Window
P1049,F185,United,SEA,LAX,26/12/2024 10:38,104,On-time,1080,383.35,72,Female,Medium,Family,Economy,1,None,Online,9,13,92,0,0,Middle
P1050,F1561,American Airlines,SEA,ORD,16/12/2023 9:05,117,On-time,1156,543.46,65,Male,Medium,Business,Premium Economy,1,Silver,Mobile App,7.4,16,29,0,0,Middle
P1051,F1918,Delta,LAX,JFK,10/09/2023 9:31,166,On-time,1327,216.2,35,Female,High,Family,Economy,0,None,Mobile App,9.6,13,103,1,0,Middle
P1052,F299,Southwest,DEN,ORD,03/04/2025 22:18,117,On-time,1417,288.82,56,Male,High,Business,Premium Economy,1,None,Airport Kiosk,7.4,5,50,0,0,Middle
P1053,F645,Delta,LAX,JFK,25/01/2025 7:32,229,On-time,1106,367.12,53,Female,Low,Leisure,Economy,0,Silver,Online,8,9,61,0,0,Aisle
P1054,F865,Delta,SFO,JFK,10/04/2024 19:15,161,Cancelled,727,351.76,42,Female,High,Emergency,Economy,0,None,Online,6.8,6,3,0,1,Aisle
