Passenger_ID,Flight_ID,Price_USD,Travel_Purpose,Seat_Class,Bags_Checked,Check_in_Method,Seat_Selected,Booking_Days_In_Advance,No_Show
P2209,F1968,352.12,Business,Economy,1,Mobile App,Middle,92,0
P2210,F1502,394.57,Emergency,Economy,1,Airport Kiosk,Aisle,119,0
P2211,F1255,316.5,Family,Business,0,Online,Window,88,0
P2212,F870,347.86,Emergency,Economy,0,Online,Middle,97,0
P2213,F1492,485.58,Leisure,Economy,1,Online,Middle,52,1
P2214,F621,391.74,Emergency,Business,0,Online,Aisle,108,0
P2215,F1018,350.4,Family,Economy,1,Desk,Window,118,0
P2216,F1528,394.3,Business,Premium Economy,0,Online,Middle,34,1
P2217,F1603,329.37,Leisure,Business,1,Mobile App,Middle,61,1
P2218,F532,299.2,Leisure,Premium Economy,1,Mobile App,Window,111,0
P2219,F208,373.49,Leisure,Premium Economy,0,Online,Window,8,0
P2220,F899,345.31,Emergency,Economy,1,Airport Kiosk,Middle,53,0
P2221,F1329,499.17,Emergency,Economy,0,Airport Kiosk,Aisle,15,1
P2222,F1090,198.54,Family,Economy,2,Desk,Middle,56,0
P2223,F1270,486.07,Leisure,Economy,0,Mobile App,Middle,78,0
P2224,F587,520.04,Family,Economy,0,Airport Kiosk,Middle,111,0
P2225,F1389,329.02,Business,Economy,2,Mobile App,Middle,108,0
P2226,F593,310.81,Business,Economy,0,Desk,Aisle,30,0
P2227,F203,281.63,Business,Economy,2,Mobile App,Aisle,33,0
P2228,F1084,493.26,Family,Economy,0,Airport Kiosk,Aisle,41,0
P2229,F425,292.45,Business,Premium Economy,2,Desk,Aisle,118,0
P2230,F622,206.87,Leisure,Economy,1,Airport Kiosk,Middle,73,0
P2231,F495,233.21,Emergency,Economy,0,Mobile App,Window,46,0
P2232,F1719,379.56,Leisure,Economy,0,Online,Middle,41,0
P2233,F1764,197.74,Business,Economy,0,Airport Kiosk,Window,36,0
P2234,F1509,316.13,Leisure,Economy,0,Online,Middle,79,1
P2235,F419,327.64,Business,Economy,0,Airport Kiosk,Aisle,51,0
P2236,F96,402.68,Emergency,Economy,0,Online,Middle,8,0
P2237,F34,519.43,Emergency,Economy,0,Desk,Window,48,0
P2238,F128,455.59,Emergency,Economy,0,Airport Kiosk,Middle,23,0
P2239,F1404,417.57,Family,Premium Economy,0,Desk,Aisle,110,0
P2240,F665,262.68,Leisure,Premium Economy,3,Desk,Aisle,96,0
P2241,F424,293.3,Leisure,First,0,Desk,Window,45,0
P2242,F1453,293.75,Family,Economy,1,Mobile App,Window,36,0
P2243,F1954,451.97,Leisure,Economy,1,Online,Aisle,50,0
P2244,F197,513.51,Leisure,Economy,1,Online,Aisle,68,0
P2245,F133,272.97,Emergency,Economy,0,Mobile App,Aisle,36,0
P2246,F1710,298.14,Emergency,Economy,0,Online,Window,0,0
P2247,F891,431.45,Business,Premium Economy,1,Desk,Aisle,114,0
P2248,F744,356.52,Emergency,Economy,0,Online,Aisle,114,0
P2249,F517,397.64,Business,First,1,Desk,Window,38,0
P2250,F1898,453.72,Family,Economy,1,Mobile App,Aisle,32,1
P2251,F1421,324.79,Business,Economy,0,Desk,Aisle,28,0
P2252,F1059,270.21,Business,Economy,2,Desk,Window,29,0
P2253,F390,422.04,Leisure,Economy,1,Online,Window,64,0
P2254,F1757,508.35,Family,Economy,4,Airport Kiosk,Middle,43,0
P2255,F1583,366.56,Leisure,Economy,1,Online,Middle,9,0
P2256,F562,417.67,Family,Business,0,Online,Aisle,40,0
P2257,F1043,396.23,Business,Economy,0,Desk,Window,31,0
P2258,F1528,208.15,Emergency,Economy,0,Airport Kiosk,Middle,63,0
P2259,F1408,320.35,Business,Premium Economy,2,Mobile App,Window,108,0
P2260,F1595,362.42,Emergency,Economy,0,Desk,Window,107,0
P2261,F1426,211.2,Family,Premium Economy,0,Mobile App,Aisle,13,0
P2262,F567,474.8,Business,Economy,0,Online,Middle,110,0
P2263,F586,465.8,Leisure,Economy,0,Mobile App,Middle,99,0
P2264,F1160,420.53,Business,Economy,1,Desk,Middle,103,0
P2265,F142,433.46,Business,Business,3,Online,Window,6,0
P2266,F938,323.82,Leisure,Premium Economy,1,Online,Window,73,1
P2267,F762,285.65,Emergency,Economy,1,Airport Kiosk,Aisle,67,1
P2268,F410,183.23,Family,Economy,1,Mobile App,Middle,17,0
P2269,F1040,276.79,Business,Business,0,Mobile App,Aisle,47,0
P2270,F1703,256.09,Business,Business,3,Desk,Aisle,14,0
P2271,F1510,257.52,Leisure,First,1,Online,Aisle,67,0
P2272,F1851,437.76,Leisure,Economy,1,Online,Window,40,0
P2273,F1447,208.01,Emergency,Premium Economy,0,Mobile App,Aisle,29,0
P2274,F1317,194.08,Leisure,Premium Economy,1,Mobile App,Window,58,0
P2275,F66,430.61,Business,Economy,1,Airport Kiosk,Aisle,68,0
P2276,F568,419.88,Emergency,Economy,0,Online,Middle,80,0
P2277,F474,420.31,Family,Premium Economy,2,Airport Kiosk,Aisle,100,0
P2278,F1317,281.92,Emergency,Economy,0,Mobile App,Middle,76,0
P2279,F210,452.13,Business,Economy,0,Airport Kiosk,Window,63,0
P2280,F1291,263.77,Emergency,Business,2,Online,Window,20,0
P2281,F1266,453.04,Emergency,Economy,0,Desk,Aisle,102,0
P2282,F1715,149.42,Family,Business,0,Online,Middle,106,0
P2283,F249,251.95,Business,Economy,0,Desk,Middle,104,0
P2284,F1641,326.16,Emergency,Premium Economy,1,Online,Aisle,58,0
P2285,F981,313.45,Emergency,Economy,1,Mobile App,Middle,87,0
P2286,F414,177.39,Family,Economy,0,Desk,Middle,25,0
P2287,F1623,278.5,Leisure,Economy,1,Mobile App,Window,16,0
P2288,F498,374.67,Business,Economy,0,Mobile App,Middle,17,0
P2289,F1859,259.77,Family,Economy,2,Mobile App,Aisle,34,0
P2290,F158,373.02,Business,Premium Economy,0,Desk,Middle,75,0
P2291,F378,125.93,Business,Economy,0,Mobile App,Aisle,49,0
P2292,F1328,413.68,Leisure,Economy,2,Online,Window,89,0
P2293,F1372,369.25,Family,First,0,Online,Middle,13,0
P2294,F1523,317.83,Emergency,Economy,1,Mobile App,Aisle,92,0
P2295,F375,315.82,Business,Premium Economy,1,Desk,Window,112,0
P2296,F771,308.15,Business,Economy,1,Mobile App,Window,17,0
P2297,F1477,458.18,Business,Economy,0,Mobile App,Middle,16,0
P2298,F1894,282.69,Emergency,Economy,0,Desk,Window,50,0
P2299,F1670,410.87,Family,Economy,0,Airport Kiosk,Window,25,0
P2300,F27,403.42,Business,Economy,1,Online,Middle,20,1
P2301,F1855,520.26,Business,Business,0,Airport Kiosk,Middle,40,0
P2302,F1245,393.99,Family,Premium Economy,1,Desk,Aisle,119,0
P2303,F529,489.96,Business,Business,0,Mobile App,Window,116,0
P2304,F99,405.41,Emergency,Premium Economy,1,Online,Window,32,0
P2305,F1121,405.95,Business,Economy,1,Desk,Aisle,95,0
P2306,F1920,443.38,Emergency,Business,0,Mobile App,Middle,117,0
P2307,F1651,372.06,Emergency,Economy,0,Mobile App,Middle,62,0
P2308,F1189,252.74,Business,Economy,0,Desk,Aisle,108,1
P2309,F1973,68.69,Business,Economy,1,Online,Middle,6,0
P2310,F1915,361.95,Business,Economy,5,Desk,Window,98,0
P2311,F1986,308.79,Leisure,Economy,0,Desk,Aisle,108,0
P2312,F1537,203.89,Business,Economy,1,Online,Aisle,109,0
P2313,F43,413.38,Family,Economy,0,Desk,Middle,99,0
P2314,F1611,296.58,Leisure,Economy,0,Online,Aisle,21,0
P2315,F244,392.27,Emergency,Economy,2,Online,Window,1,0
P2316,F842,243.22,Leisure,Business,0,Mobile App,Window,113,0
P2317,F474,508.93,Business,Economy,1,Airport Kiosk,Window,96,0
P2318,F266,607.11,Family,Economy,2,Airport Kiosk,Aisle,115,0
P2319,F639,498.65,Business,Economy,0,Online,Aisle,86,0
P2320,F325,186.31,Leisure,Economy,0,Airport Kiosk,Middle,46,0
P2321,F134,428.86,Family,Business,1,Online,Window,24,0
P2322,F1166,258.32,Emergency,Economy,0,Mobile App,Window,91,0
P2323,F1464,269.17,Emergency,Business,0,Online,Middle,29,0
P2324,F1677,258.86,Leisure,Economy,1,Desk,Aisle,86,0
P2325,F648,485.98,Leisure,Economy,0,Mobile App,Middle,66,1
P2326,F1546,586.9,Emergency,Premium Economy,1,Airport Kiosk,Window,43,0
P2327,F520,446.79,Emergency,Economy,1,Airport Kiosk,Window,58,0
P2328,F1310,295.18,Business,Economy,0,Desk,Middle,18,0
P2329,F894,250.25,Business,Premium Economy,2,Desk,Aisle,112,0
P2330,F130,453.48,Business,Economy,0,Desk,Middle,60,1
P2331,F1394,323.43,Leisure,Premium Economy,0,Airport Kiosk,Middle,16,0
P2332,F267,384.14,Leisure,Business,3,Desk,Middle,50,0
P2333,F1927,30.64,Business,Economy,3,Online,Middle,39,0
P2334,F1996,177.02,Family,Premium Economy,3,Desk,Window,76,0
P2335,F1776,418.8,Business,Premium Economy,1,Desk,Aisle,48,0
P2336,F1917,308.95,Business,Business,0,Desk,Window,108,1
P2337,F1448,355.12,Business,Economy,0,Online,Window,9,0
P2338,F280,412.43,Business,Business,0,Online,Middle,27,0
P2339,F1821,294.67,Emergency,Economy,2,Airport Kiosk,Window,36,0
P2340,F1273,358.52,Family,Business,1,Mobile App,Window,111,0
P2341,F863,397.14,Leisure,Economy,3,Online,Middle,1,0
P2342,F1599,253.77,Leisure,Business,0,Airport Kiosk,Middle,76,0
P2343,F1218,276.6,Family,Economy,1,Desk,Aisle,14,0
P2344,F19,354.74,Family,Economy,1,Online,Aisle,5,1
P2345,F1240,356.6,Business,Business,1,Online,Middle,98,0
P2346,F1430,216.61,Emergency,Economy,2,Mobile App,Window,7,0
P2347,F789,396.52,Business,Premium Economy,1,Online,Middle,111,0
P2348,F1379,444.69,Business,Economy,1,Online,Middle,116,0
P2349,F328,196.32,Business,Economy,2,Online,Window,45,0
P2350,F61,324.53,Family,Economy,1,Airport Kiosk,Window,117,1
P2351,F276,583.76,Leisure,First,1,Mobile App,Middle,95,0
P2352,F1401,284.91,Emergency,Economy,1,Mobile App,Aisle,91,0
P2353,F87,351.53,Emergency,Economy,0,Mobile App,Middle,24,0
P2354,F39,315.78,Family,Economy,3,Online,Window,103,0
P2355,F265,238.94,Emergency,Economy,0,Desk,Middle,108,0
P2356,F6,276.55,Family,Economy,2,Desk,Middle,36,0
P2357,F1251,350.35,Leisure,Economy,1,Desk,Aisle,105,0
P2358,F1575,135.66,Emergency,Economy,1,Online,Aisle,88,0
P2359,F1113,313.57,Business,Economy,0,Airport Kiosk,Aisle,102,0
P2360,F551,355.89,Leisure,Economy,1,Online,Window,110,0
P2361,F1453,275.59,Family,Premium Economy,0,Desk,Middle,56,0
P2362,F1882,381.46,Emergency,Economy,1,Online,Middle,105,0
P2363,F1918,380.66,Leisure,Economy,1,Desk,Window,107,0
P2364,F1200,504.3,Leisure,Business,1,Desk,Aisle,82,0
P2365,F1648,282.97,Leisure,Premium Economy,1,Mobile App,Aisle,0,0
P2366,F1659,206.73,Leisure,Economy,0,Mobile App,Window,71,0
P2367,F1676,371.67,Emergency,Business,0,Desk,Aisle,39,0
P2368,F778,201.68,Emergency,Premium Economy,0,Mobile App,Middle,86,0
P2369,F834,79.8,Emergency,Business,1,Mobile App,Window,50,0
P2370,F1695,273.85,Business,Business,0,Mobile App,Aisle,50,0
P2371,F483,343.36,Family,Economy,3,Airport Kiosk,Aisle,115,0
P2372,F883,213.38,Family,Premium Economy,2,Online,Middle,30,0
P2373,F1655,328.53,Business,Economy,1,Desk,Aisle,31,0
P2374,F53,244.25,Leisure,Business,0,Online,Aisle,107,0
P2375,F824,242.48,Emergency,Economy,2,Desk,Window,5,0
P2376,F564,517.38,Business,Economy,0,Mobile App,Aisle,11,1
P2377,F204,188.09,Business,Economy,1,Desk,Middle,30,0
P2378,F1102,344.26,Family,First,2,Airport Kiosk,Middle,15,0
P2379,F7,455.48,Leisure,Premium Economy,1,Airport Kiosk,Middle,40,0
P2380,F572,468.09,Leisure,Economy,2,Online,Middle,105,0
P2381,F57,122.13,Leisure,Economy,1,Desk,Window,40,0
P2382,F465,234.91,Emergency,Economy,1,Desk,Window,94,0
P2383,F1247,275.29,Family,Business,2,Online,Middle,63,0
P2384,F1168,562.25,Leisure,Economy,2,Mobile App,Aisle,22,0
P2385,F119,454.25,Family,Economy,2,Airport Kiosk,Window,110,0
P2386,F1134,264.28,Business,Economy,1,Airport Kiosk,Aisle,50,0
P2387,F1950,353.7,Business,Business,0,Mobile App,Aisle,85,0
P2388,F1041,247.84,Leisure,Economy,0,Mobile App,Window,61,0
P2389,F357,227.88,Leisure,Business,1,Airport Kiosk,Aisle,3,0
P2390,F886,389.67,Business,Economy,2,Desk,Window,71,0
P2391,F1502,392.2,Emergency,Economy,2,Airport Kiosk,Aisle,97,0
P2392,F128,623.05,Family,Economy,1,Desk,Window,95,0
P2393,F820,440.77,Emergency,Economy,0,Mobile App,Middle,66,0
P2394,F715,350.22,Family,Economy,0,Desk,Window,87,1
P2395,F1287,381.3,Business,Economy,1,Desk,Aisle,3,0
P2396,F1677,295.44,Family,Business,0,Online,Middle,6,0
P2397,F645,188.78,Emergency,Economy,0,Online,Window,62,0
P2398,F1991,233.13,Leisure,Premium Economy,2,Online,Window,91,0
P2399,F1767,478.1,Emergency,Business,3,Online,Window,30,0
P2400,F1730,345.2,Emergency,Economy,1,Mobile App,Middle,39,0
P2401,F532,374.67,Family,Economy,3,Desk,Middle,75,0
P2402,F1945,369.54,Business,Economy,1,Desk,Middle,31,0
P2403,F664,695.48,Emergency,Economy,3,Desk,Aisle,94,0
P2404,F1579,338.08,Leisure,Premium Economy,2,Online,Aisle,35,0
P2405,F1849,152.03,Business,Economy,4,Mobile App,Window,74,0
P2406,F1131,393.79,Family,Premium Economy,0,Desk,Window,40,1
P2407,F598,465.92,Emergency,Premium Economy,1,Mobile App,Middle,50,0
P2408,F1147,342.04,Business,First,0,Mobile App,Aisle,13,0
P2409,F1038,277.21,Emergency,Economy,1,Desk,Aisle,10,0
P2410,F186,413.04,Family,Business,0,Mobile App,Middle,70,0
P2411,F959,363.75,Family,Premium Economy,2,Online,Aisle,52,0
P2412,F119,344.18,Emergency,Economy,0,Airport Kiosk,Aisle,64,0
P2413,F1209,355.48,Business,Economy,2,Online,Window,85,0
P2414,F1759,333.08,Leisure,Business,2,Online,Window,76,0
P2415,F1269,430.14,Business,Business,1,Mobile App,Aisle,113,0
P2416,F1611,395.73,Leisure,Economy,1,Online,Window,71,0
P2417,F875,400.07,Leisure,Economy,5,Airport Kiosk,Aisle,70,0
P2418,F953,334.61,Business,Economy,0,Desk,Window,9,0
P2419,F788,332.48,Family,Economy,0,Mobile App,Aisle,71,0
P2420,F1947,246.68,Emergency,Economy,2,Airport Kiosk,Window,92,0
P2421,F163,465.82,Family,Economy,0,Online,Aisle,116,0
P2422,F918,412.67,Leisure,Premium Economy,1,Online,Middle,22,0
P2423,F708,485.75,Business,Economy,1,Mobile App,Window,95,0
P2424,F897,356.53,Leisure,Economy,0,Desk,Aisle,34,0
P2425,F1776,426.07,Leisure,Economy,3,Airport Kiosk,Middle,12,0
P2426,F1634,174.62,Leisure,Premium Economy,0,Mobile App,Middle,59,0
P2427,F288,250.75,Leisure,Economy,1,Mobile App,Window,7,0
P2428,F11,233.53,Leisure,Economy,1,Mobile App,Aisle,78,0
P2429,F205,467.44,Family,Economy,0,Mobile App,Aisle,12,1
P2430,F98,226.11,Family,Economy,0,Airport Kiosk,Window,87,0
P2431,F1378,257.13,Family,Business,1,Desk,Aisle,35,0
P2432,F23,473.51,Leisure,First,2,Airport Kiosk,Aisle,18,0
P2433,F1440,244.44,Family,Economy,1,Mobile App,Aisle,75,0
P2434,F217,367.77,Family,Economy,0,Mobile App,Aisle,78,0
P2435,F1127,461.22,Business,Economy,2,Mobile App,Aisle,54,0
P2436,F7,345.86,Leisure,Business,1,Online,Aisle,101,0
P2437,F1386,533.95,Emergency,Economy,1,Mobile App,Aisle,30,0
P2438,F446,253.35,Emergency,Economy,0,Online,Window,34,0
P2439,F790,305.17,Family,Premium Economy,3,Airport Kiosk,Window,1,0
P2440,F503,268.48,Leisure,Business,2,Mobile App,Aisle,37,0
P2441,F1093,308.6,Business,Business,2,Online,Window,108,0
P2442,F957,307.21,Emergency,Premium Economy,2,Online,Aisle,26,0
P2443,F1871,450.03,Family,Economy,1,Online,Aisle,87,0
P2444,F57,435.21,Emergency,Economy,0,Mobile App,Aisle,15,0
P2445,F158,310.3,Leisure,Economy,0,Desk,Window,79,0
P2446,F1130,346.25,Family,Premium Economy,1,Desk,Aisle,0,0
P2447,F886,351.76,Business,Economy,1,Mobile App,Middle,101,0
P2448,F1109,323.93,Family,Premium Economy,2,Desk,Window,69,0
P2449,F854,224.22,Emergency,Economy,0,Desk,Aisle,93,0
P2450,F936,521.64,Family,Economy,2,Online,Aisle,109,0
P2451,F1844,530.07,Leisure,Business,1,Desk,Window,24,0
P2452,F464,325.71,Leisure,Premium Economy,0,Airport Kiosk,Middle,63,0
P2453,F170,264.87,Business,Economy,1,Desk,Middle,117,0
P2454,F1652,231.73,Leisure,First,2,Mobile App,Window,101,0
P2455,F771,539.25,Family,Economy,0,Mobile App,Window,76,0
P2456,F1717,309.36,Business,Premium Economy,0,Mobile App,Aisle,41,0
P2457,F1496,436.87,Leisure,Economy,2,Online,Aisle,22,0
P2458,F1800,305.64,Business,Economy,1,Desk,Window,58,0
P2459,F1517,178.51,Business,Economy,1,Airport Kiosk,Middle,54,0
P2460,F779,430.12,Business,Premium Economy,2,Mobile App,Aisle,36,0
P2461,F1129,385.72,Leisure,Economy,0,Desk,Window,29,0
P2462,F141,385.99,Emergency,Business,4,Airport Kiosk,Window,90,0
P2463,F1220,253.28,Business,Economy,2,Airport Kiosk,Aisle,83,0
P2464,F811,369.98,Family,Premium Economy,1,Online,Window,66,0
P2465,F1532,288.98,Business,Economy,1,Airport Kiosk,Aisle,116,0
P2466,F1806,563.6,Family,Premium Economy,5,Online,Aisle,39,0
P2467,F1233,425.4,Leisure,Premium Economy,3,Mobile App,Aisle,50,0
P2468,F1630,353.77,Leisure,Premium Economy,0,Airport Kiosk,Middle,84,0
P2469,F970,350.36,Leisure,Economy,0,Desk,Window,2,1
P2470,F907,254.16,Emergency,Premium Economy,3,Online,Middle,75,0
P2471,F973,224.16,Family,Premium Economy,0,Online,Middle,33,0
P2472,F1876,500.07,Family,Economy,2,Airport Kiosk,Aisle,97,0
P2473,F1758,168.77,Emergency,Premium Economy,0,Online,Aisle,115,0
P2474,F680,507.37,Family,Premium Economy,2,Airport Kiosk,Window,95,0
P2475,F478,416.99,Business,Economy,0,Airport Kiosk,Window,10,1
P2476,F241,236.57,Family,Business,0,Online,Aisle,75,0
P2477,F1274,464.77,Family,Economy,2,Airport Kiosk,Aisle,0,0
P2478,F335,437.03,Emergency,Economy,3,Desk,Window,33,0
P2479,F1067,332.51,Emergency,Business,1,Airport Kiosk,Middle,35,0
P2480,F1188,298.61,Emergency,Economy,0,Desk,Middle,14,0
P2481,F1875,295.0,Family,Economy,0,Mobile App,Aisle,87,0
P2482,F1409,447.69,Emergency,Economy,1,Airport Kiosk,Middle,43,1
P2483,F840,390.64,Business,First,3,Online,Window,84,0
P2484,F92,154.6,Family,Economy,0,Mobile App,Window,112,0
P2485,F719,249.23,Family,Business,1,Airport Kiosk,Window,71,0
P2486,F1890,316.66,Business,Business,1,Desk,Middle,90,0
P2487,F1166,384.61,Business,Economy,3,Mobile App,Window,48,0
P2488,F1183,402.92,Business,Business,0,Desk,Window,89,0
P2489,F589,389.93,Leisure,Premium Economy,2,Airport Kiosk,Aisle,94,0
P2490,F1341,281.14,Family,Economy,0,Online,Window,47,0
P2491,F1179,258.63,Emergency,Economy,0,Airport Kiosk,Middle,46,0
P2492,F354,455.58,Family,Economy,3,Desk,Aisle,54,0
P2493,F1559,472.75,Leisure,Economy,2,Mobile App,Aisle,70,0
P2494,F805,356.79,Leisure,Premium Economy,0,Airport Kiosk,Window,111,1
P2495,F1339,298.44,Family,Economy,0,Online,Aisle,11,0
P2496,F722,301.07,Business,Economy,2,Airport Kiosk,Window,67,0
P2497,F73,279.59,Family,Premium Economy,1,Online,Aisle,25,0
P2498,F156,399.02,Business,Premium Economy,0,Airport Kiosk,Middle,87,0
P2499,F887,417.44,Leisure,Economy,2,Airport Kiosk,Middle,13,1
P2500,F349,392.23,Family,Economy,0,Desk,Aisle,25,0
P2501,F17,384.67,Family,Economy,1,Online,Aisle,87,0
P2502,F1688,229.57,Family,Economy,0,Mobile App,Aisle,33,0
P2503,F811,325.68,Business,Economy,1,Airport Kiosk,Middle,116,0
P2504,F761,361.88,Business,Premium Economy,1,Desk,Window,95,0
P2505,F724,244.98,Family,Economy,0,Airport Kiosk,Aisle,36,0
P2506,F1688,240.08,Leisure,Premium Economy,1,Online,Window,64,0
P2507,F232,313.2,Leisure,Economy,0,Mobile App,Window,52,0
P2508,F497,381.92,Leisure,Premium Economy,3,Airport Kiosk,Window,74,0
P2509,F1359,245.85,Leisure,Business,1,Desk,Window,56,0
P2510,F1882,323.04,Leisure,Economy,3,Mobile App,Window,5,0
P2511,F393,294.71,Family,Premium Economy,1,Mobile App,Aisle,77,0
P2512,F856,433.9,Family,Premium Economy,2,Desk,Aisle,29,0
P2513,F518,376.92,Business,Business,3,Online,Middle,43,0
P2514,F1226,352.2,Emergency,Economy,1,Mobile App,Aisle,45,1
P2515,F105,271.27,Business,Economy,2,Mobile App,Aisle,4,0
P2516,F883,377.36,Family,Economy,2,Desk,Aisle,12,0
P2517,F451,376.72,Emergency,Economy,0,Desk,Window,44,0
P2518,F1445,398.82,Family,Premium Economy,0,Airport Kiosk,Middle,105,0
P2519,F1595,422.86,Leisure,Economy,2,Online,Aisle,44,0
P2520,F153,489.92,Business,Premium Economy,1,Mobile App,Aisle,92,0
P2521,F1281,448.23,Emergency,Business,0,Mobile App,Window,113,0
P2522,F597,582.95,Leisure,Economy,0,Mobile App,Middle,82,0
P2523,F1085,405.08,Family,Economy,1,Airport Kiosk,Middle,27,0
P2524,F1204,504.2,Leisure,Economy,2,Online,Window,12,0
P2525,F1838,348.25,Emergency,Economy,1,Online,Window,105,0
P2526,F1017,300.29,Family,Economy,1,Mobile App,Aisle,109,0
P2527,F44,527.92,Business,Economy,1,Mobile App,Middle,115,1
P2528,F940,243.08,Business,Economy,0,Airport Kiosk,Middle,117,0
P2529,F1650,527.44,Family,Business,0,Desk,Middle,85,0
P2530,F1122,409.42,Emergency,Economy,1,Airport Kiosk,Middle,81,0
P2531,F868,374.71,Emergency,Business,2,Desk,Middle,1,0
P2532,F1239,328.12,Emergency,Business,3,Desk,Middle,35,0
P2533,F451,206.65,Family,Economy,0,Mobile App,Window,114,0
P2534,F1533,205.07,Business,First,1,Mobile App,Aisle,9,0
P2535,F124,252.66,Emergency,Economy,0,Airport Kiosk,Window,112,0
P2536,F1213,473.13,Family,Premium Economy,0,Airport Kiosk,Middle,3,1
P2537,F1183,266.56,Business,Economy,3,Mobile App,Window,54,0
P2538,F642,471.63,Family,Economy,1,Mobile App,Middle,5,0
P2539,F133,309.74,Leisure,Economy,1,Desk,Aisle,63,0
P2540,F1858,488.29,Business,Economy,0,Mobile App,Window,6,0
P2541,F600,368.52,Leisure,Economy,1,Desk,Aisle,17,0
P2542,F412,339.41,Emergency,Economy,0,Online,Middle,82,1
P2543,F1033,243.54,Leisure,Premium Economy,1,Online,Middle,89,0
P2544,F997,403.78,Leisure,Economy,0,Desk,Window,33,0
P2545,F1327,332.76,Leisure,Economy,2,Mobile App,Window,48,0
P2546,F136,376.23,Emergency,Economy,1,Mobile App,Aisle,102,0
P2547,F1761,296.24,Family,Economy,1,Desk,Aisle,73,0
P2548,F244,337.07,Emergency,Economy,3,Desk,Aisle,37,0
P2549,F1131,368.51,Business,Economy,0,Online,Middle,95,0
P2550,F425,323.03,Business,Economy,4,Airport Kiosk,Window,47,0
P2551,F1029,259.42,Leisure,Premium Economy,0,Mobile App,Window,47,0
P2552,F928,329.91,Family,Economy,0,Desk,Window,17,0
P2553,F1061,404.81,Business,Business,2,Online,Middle,65,0
P2554,F1838,304.35,Leisure,Premium Economy,1,Mobile App,Middle,8,0
P2555,F1558,289.52,Family,Economy,1,Online,Middle,27,0
P2556,F773,408.57,Family,Economy,1,Airport Kiosk,Aisle,111,0
P2557,F1995,553.9,Leisure,Economy,5,Desk,Middle,70,0
P2558,F1946,499.32,Business,First,0,Mobile App,Window,16,0
P2559,F1910,418.47,Business,Economy,1,Airport Kiosk,Window,43,0
P2560,F946,400.0,Family,Premium Economy,2,Airport Kiosk,Aisle,71,0
P2561,F1330,496.36,Emergency,Business,2,Online,Middle,57,0
P2562,F1931,312.41,Emergency,Economy,1,Mobile App,Aisle,75,0
P2563,F1790,422.72,Leisure,Economy,0,Desk,Middle,34,0
P2564,F1488,314.51,Emergency,Economy,2,Mobile App,Window,61,0
P2565,F1743,262.39,Emergency,Economy,2,Desk,Window,40,0
P2566,F941,110.15,Leisure,Economy,3,Online,Middle,30,0
P2567,F699,359.5,Business,Business,1,Airport Kiosk,Aisle,16,0
P2568,F1874,412.69,Leisure,Economy,2,Online,Window,68,0
P2569,F1584,385.47,Emergency,Economy,1,Online,Window,55,0
P2570,F330,502.39,Emergency,Economy,1,Online,Window,74,0
P2571,F54,262.01,Family,Economy,1,Mobile App,Window,4,0
P2572,F24,531.25,Business,Economy,1,Online,Middle,38,0
P2573,F1925,372.25,Emergency,Economy,1,Desk,Aisle,106,0
P2574,F1198,321.26,Family,Premium Economy,1,Online,Aisle,47,0
P2575,F385,147.13,Family,Economy,3,Desk,Middle,66,0
P2576,F1935,405.47,Emergency,Economy,0,Mobile App,Aisle,97,0
P2577,F213,375.53,Business,Premium Economy,1,Airport Kiosk,Middle,36,0
P2578,F749,333.87,Leisure,Economy,1,Mobile App,Middle,118,0
P2579,F1186,222.87,Business,Economy,1,Mobile App,Aisle,94,0
P2580,F11,417.58,Family,First,0,Mobile App,Window,73,0
P2581,F100,210.82,Business,Economy,0,Airport Kiosk,Aisle,9,0
P2582,F567,528.6,Emergency,Premium Economy,1,Online,Aisle,96,0
P2583,F209,275.64,Emergency,Economy,0,Mobile App,Aisle,53,0
P2584,F1965,304.64,Emergency,Premium Economy,0,Online,Window,6,0
P2585,F1811,449.56,Family,Business,2,Online,Aisle,13,0
P2586,F307,419.46,Family,Premium Economy,0,Airport Kiosk,Aisle,118,0
P2587,F22,412.57,Leisure,Premium Economy,1,Mobile App,Window,48,0
P2588,F176,242.37,Family,Premium Economy,1,Airport Kiosk,Middle,0,0
P2589,F1790,383.71,Emergency,First,0,Airport Kiosk,Aisle,13,0
P2590,F1786,408.64,Business,Economy,0,Online,Window,94,0
P2591,F1331,283.98,Emergency,Economy,2,Online,Middle,55,0
P2592,F996,189.63,Business,Economy,4,Airport Kiosk,Window,55,1
P2593,F215,234.3,Family,Economy,0,Online,Middle,64,0
P2594,F1681,351.66,Family,Economy,0,Mobile App,Aisle,25,0
P2595,F1383,341.78,Family,Economy,3,Mobile App,Window,46,0
P2596,F1409,459.5,Leisure,First,4,Online,Middle,101,0
P2597,F388,369.92,Family,Economy,0,Desk,Middle,12,0
P2598,F462,272.94,Business,Economy,2,Mobile App,Window,7,1
P2599,F1555,396.59,Business,Premium Economy,2,Airport Kiosk,Window,46,0
P2600,F800,453.25,Family,Economy,3,Online,Window,116,0
P2601,F1133,160.49,Leisure,Business,2,Airport Kiosk,Aisle,103,0
P2602,F1988,416.45,Leisure,Business,4,Mobile App,Aisle,30,0
P2603,F924,244.59,Leisure,Economy,0,Desk,Window,78,0
P2604,F144,362.04,Leisure,Business,2,Online,Window,58,0
